time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
1.601405,0,0,0,0
1.603146,0,0,0,0
1.604874,0,0,0,0
1.606629,0,0,0,0
1.608357,0,0,0,0
1.610108,0,0,0,0
1.611903,0,0,0,0
1.613656,0,0,0,0
1.615386,0,0,0,0
1.617113,0,0,0,0
1.618855,0,0,0,0
1.620582,0,0,0,0
1.622323,0,0,0,0
1.624050,0,0,0,0
1.625779,0,0,0,0
1.627522,0,0,0,0
1.629248,0,0,0,0
1.630993,0,0,0,0
1.632757,0,0,0,0
1.634513,0,0,0,0
1.636240,0,0,0,0
1.638178,0,0,0,0
1.639913,0,0,0,0
1.641643,0,0,0,0
1.643384,0,0,0,0
1.645112,0,0,0,0
1.646871,0,0,0,0
1.648599,0,0,0,0
1.650340,0,0,0,0
1.652089,0,0,0,0
1.653847,0,0,0,0
1.655574,0,0,0,0
1.657301,0,0,0,0
1.659043,0,0,0,0
1.660770,0,0,0,0
1.662507,0,0,0,0
1.664235,0,0,0,0
1.665972,0,0,0,0
1.667720,0,0,0,0
1.669447,0,0,0,0
1.671190,0,0,0,0
1.672971,0,0,0,0
1.674738,0,0,0,0
1.676466,0,0,0,0
1.678203,0,0,0,0
1.679931,0,0,0,0
1.681660,0,0,0,0
1.683387,0,0,0,0
1.685114,0,0,0,0
1.686880,0,0,0,0
1.688608,0,0,0,0
1.690347,0,0,0,0
1.692086,0,0,0,0
1.693852,0,0,0,0
1.695588,0,0,0,0
1.697314,0,0,0,0
1.699055,0,0,0,0
1.700783,0,0,0,0
1.702521,0,0,0,0
1.704249,0,0,0,0
1.705987,0,0,0,0
1.707735,0,0,0,0
1.709461,0,0,0,0
1.711204,0,0,0,0
1.712993,0,0,0,0
1.714755,0,0,0,0
1.716483,0,0,0,0
1.718220,0,0,0,0
1.719947,0,0,0,0
1.721677,0,0,0,0
1.723409,0,0,0,0
1.725136,0,0,0,0
1.726899,0,0,0,0
1.728627,0,0,0,0
1.730364,0,0,0,0
1.732096,0,0,0,0
1.733888,0,0,0,0
1.735630,0,0,0,0
1.737357,0,0,0,0
1.739098,0,0,0,0
1.740825,0,0,0,0
1.742580,0,0,0,0
1.744307,0,0,0,0
1.746044,0,0,0,0
1.747784,0,0,0,0
1.749511,0,0,0,0
1.751252,0,0,0,0
1.753038,0,0,0,0
1.754797,0,0,0,0
1.756524,0,0,0,0
1.758263,0,0,0,0
1.759990,0,0,0,0
1.761719,0,0,0,0
1.763446,0,0,0,0
1.765172,0,0,0,0
1.766925,0,0,0,0
1.768654,0,0,0,0
1.770392,0,0,0,0
1.772122,0,0,0,0
1.773903,0,0,0,0
1.775651,0,0,0,0
1.777378,0,0,0,0
1.779118,0,0,0,0
1.780845,0,0,0,0
1.782583,0,0,0,0
1.784310,0,0,0,0
