time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU1_L0,GPU1_L1,GPU1_L2,GPU1_L3,GPU2_L0,GPU2_L1,GPU2_L2,GPU2_L3,GPU2_L4,GPU3_L0,GPU3_L1,GPU3_L2,GPU3_L3,GPU3_L4
1.116400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.121150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.126002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.130791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.135591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.140405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.145206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.149974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.154729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.159499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.164320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.169151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.173978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.178752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.183458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.188172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.192901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.197663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.202455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.207168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.211976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.216646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.221401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.226240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.231249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.235998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.240794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.245627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.250434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.255245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.260021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
